CODE	POP_R	POP_V	POP_A	POP_P	POP_C	POP_E	POP_O	POP_S	XSUM
22307940	10	0	0	0	0	0	0	3	13
21863172	1	0	0	0	0	0	0	1	2
21868352	7	0	0	0	0	0	0	3	10
21754225	8	0	0	0	0	0	0	0	8
22323236	0	0	0	0	0	0	0	1	1
22545221	9	0	0	0	0	0	0	0	9
22223061	4	0	0	0	0	0	0	2	6
22164138	3	0	1	0	0	0	0	1	5
22262644	12	0	0	0	0	0	0	3	15
22180044	71	0	4	3	0	65	357	419	919
21867429	7	0	0	0	0	0	0	1	8
22284621	6	0	0	0	0	0	0	5	11
21906793	4	0	0	0	0	0	0	4	8
22152172	5	0	0	0	0	0	0	2	7
22393391	14	0	0	0	0	0	0	2	16
22168435	5	0	0	0	0	0	0	2	7
22213597	2	0	0	0	0	0	0	0	2
22723722	9	1	0	0	0	0	0	0	10
22169261	7	0	0	0	0	0	0	2	9
22369180	17	0	0	0	0	0	0	9	26
21789606	27	0	0	0	0	0	0	4	31
22301259	1	0	0	0	0	0	0	4	5
22546774	19	0	1	0	0	0	0	2	22
22769439	0	0	11	1	0	0	0	0	12
21867895	2	0	0	0	0	0	0	2	4
21787344	5	0	0	0	0	0	0	0	5
22307559	5	0	0	0	0	0	0	1	6
22088954	11	0	1	0	0	0	0	0	12
21794251	15	0	0	0	0	0	0	1	16
22020578	9	0	0	0	0	0	0	4	13
21969396	13	0	0	0	0	0	0	5	18
21945217	1	0	0	0	0	0	0	0	1
22282858	3	0	1	0	0	0	0	5	9
21770611	11	0	0	0	0	0	0	3	14
27858171	2	0	0	0	0	0	0	0	2
21912858	9	0	0	1	0	0	0	4	14
22312226	5	0	0	0	0	0	0	1	6
22355103	14	0	0	0	0	0	0	2	16
22161970	4	0	0	0	0	0	0	1	5
22093150	4	0	0	0	0	0	0	2	6
21742154	9	0	0	0	0	0	0	2	11
21786941	10	0	0	0	0	0	0	2	12
21794995	8	0	0	0	0	0	0	1	9
22204156	15	0	0	0	0	0	0	0	15
22163492	8	0	0	0	0	0	0	3	11
22304371	19	0	4	0	0	1	0	3	27
22309721	15	0	0	0	0	0	0	3	18
21738289	5	0	0	0	0	0	0	6	11
21738971	7	0	2	0	0	0	0	1	10
21749108	9	0	0	0	0	0	0	0	9
21769940	3	0	0	0	0	0	0	0	3
21750084	11	0	6	0	0	0	0	2	19
22290923	7	0	0	0	0	0	0	4	11
22385258	6	0	0	0	0	0	0	0	6
21693315	1	1	5	0	0	0	0	3	10
22543015	7	1	0	0	0	0	0	2	10
22357017	3	0	0	0	0	0	0	2	5
21756023	7	0	1	0	0	0	0	1	9
22078126	0	0	4	0	0	0	0	0	4
22223215	9	0	0	0	0	0	0	2	11
22181849	22	0	2	0	0	0	0	5	29
21742863	0	0	1	6	0	0	0	0	7
27536009	0	0	11	1	0	2	0	0	14
22375449	5	0	0	0	0	0	0	1	6
25601580	1	0	0	0	0	0	0	0	1
22312315	16	0	0	0	0	0	0	5	21
22173471	2	0	0	0	0	0	0	1	3
21867216	12	0	0	0	0	1	0	0	13
21774676	3	0	0	0	0	0	0	0	3
22210199	10	0	0	0	0	0	0	5	15
21704082	7	0	0	0	0	0	0	2	9
21729263	14	0	1	0	0	0	0	6	21
22383247	12	0	0	0	0	0	0	4	16
22370358	11	0	0	0	0	0	0	4	15
22369091	36	2	0	0	0	0	0	21	59
22080724	2	3	3	0	0	1	0	0	9
22177892	2	0	0	0	0	0	0	1	3
22104216	4	0	1	0	0	0	0	4	9
21761957	2	0	1	0	0	0	0	1	4
22221280	3	0	0	0	0	0	0	0	3
21715084	3	0	18	0	0	3	0	1	25
21786950	15	0	0	0	0	0	0	0	15
22354131	7	0	0	0	0	0	0	1	8
22174541	1	0	0	0	0	0	0	1	2
22085416	1	0	1	0	0	0	0	1	3
22377930	5	0	0	0	0	0	0	1	6
21747156	9	0	1	0	0	1	0	3	14
22217479	12	0	0	0	0	0	0	1	13
21968861	1	0	0	0	0	0	0	0	1
22369244	14	0	1	0	0	0	0	4	19
21779163	11	0	0	0	0	0	0	1	12
22363432	3	1	0	0	0	0	0	0	4
22018051	0	0	2	0	0	0	0	0	2
21754527	8	0	0	0	0	0	0	2	10
22368949	18	0	0	0	0	0	0	10	28
22302131	3	0	1	0	0	0	0	0	4
22283803	83	0	0	0	0	0	0	1	84
22321896	1	0	0	0	0	0	0	0	1
22242431	34	3	0	1	0	0	0	6	44
21745951	3	0	0	0	0	0	0	0	3
21953830	6	0	1	0	0	0	0	0	7
26142031	1	0	0	0	0	0	0	0	1
21861641	3	0	2	1	0	1	0	0	7
21762783	15	0	0	0	0	0	0	6	21
22364501	7	0	0	0	0	0	0	1	8
21966567	4	0	0	0	0	0	0	2	6
21861161	7	1	0	0	0	0	0	4	12
21749451	10	0	0	0	0	0	0	2	12
21752940	12	0	0	0	0	0	0	4	16
22085335	5	0	0	0	0	0	0	1	6
21756481	6	0	0	0	0	0	0	2	8
22100245	8	0	1	0	0	0	0	2	11
22307362	5	0	0	0	0	0	0	0	5
21759511	9	0	0	0	0	0	0	1	10
21751641	6	0	3	1	0	0	0	3	13
22190007	17	0	1	0	0	0	0	5	23
21703078	5	0	1	0	0	0	0	2	8
21964041	6	0	0	0	0	1	0	3	10
21953716	7	0	0	0	0	0	0	6	13
21781885	4	1	0	0	0	0	0	4	9
22261974	11	0	1	0	0	0	0	3	15
21739803	9	0	1	0	0	0	0	5	15
21967296	10	0	0	0	0	0	0	5	15
21757054	13	0	0	0	0	0	0	4	17
22310746	13	0	1	0	0	0	0	5	19
22397779	13	0	1	0	0	0	0	6	20
22294163	8	0	0	0	0	0	0	2	10
22295925	13	0	2	0	0	0	0	5	20
21761817	8	0	1	0	0	0	0	2	11
21733724	6	0	0	0	0	0	0	0	6
21702004	0	0	0	1	0	1	0	0	2
28350278	45	1	9	1	0	32	4	329	421
21738394	3	0	0	0	0	0	0	2	5
22204580	3	0	0	0	0	0	0	0	3
22175661	1	0	0	0	0	0	0	2	3
22218424	2	0	0	0	0	0	0	0	2
22423800	0	0	1	0	0	0	0	0	1
21711542	0	0	1	8	0	0	0	0	9
22242554	27	0	0	0	0	0	0	17	44
22178961	7	0	0	0	0	0	0	2	9
22196749	4	0	0	0	0	0	0	1	5
22184660	1	0	0	0	0	0	0	4	5
22700897	0	0	4	1	0	0	0	0	5
21765685	4	0	0	0	0	0	0	1	5
21725535	2	0	2	0	0	0	0	8	12
21912416	15	0	1	0	0	0	0	2	18
21950695	7	0	0	0	0	0	0	0	7
21739293	10	0	0	0	0	0	0	2	12
21727015	0	0	12	1	0	0	0	0	13
22311165	9	0	0	0	0	0	0	3	12
21794847	7	0	0	0	0	0	0	1	8
22182560	11	0	0	0	0	0	0	7	18
21757836	1	0	2	0	0	1	2	2	8
21758549	7	0	0	0	0	0	0	0	7
22500561	10	0	0	0	0	0	0	1	11
21861072	1	0	1	0	0	0	0	0	2
21949735	9	0	0	0	0	0	0	0	9
22294228	3	0	0	0	0	0	0	1	4
22294830	5	0	0	0	0	0	0	4	9
22363611	2	0	0	0	0	0	0	1	3
21734852	2	0	2	0	0	0	0	1	5
22176365	5	0	0	0	0	0	0	0	5
22210181	17	0	1	0	0	0	0	4	22
22280456	6	0	0	0	0	0	0	2	8
22282637	1	0	0	0	0	1	0	1	3
22148680	47	0	2	0	0	0	0	20	69
22256717	3	0	0	0	0	0	0	0	3
21738696	1	0	0	0	0	0	0	0	1
22223223	8	0	0	0	0	0	0	2	10
22166173	1	0	0	0	0	0	0	1	2
22498257	0	0	1	0	0	0	0	0	1
21953431	10	0	0	0	0	0	0	4	14
22190899	6	0	0	0	0	0	0	6	12
26736195	3	0	0	0	0	0	0	1	4
22545638	11	0	0	0	0	0	0	0	11
22352953	8	0	0	0	0	0	0	2	10
22773614	7	0	0	0	0	0	0	2	9
21866813	7	0	0	0	0	0	0	6	13
22398481	4	0	0	0	0	0	0	0	4
22500472	15	0	0	0	0	0	0	2	17
22383956	3	0	0	0	0	0	0	2	5
21700133	6	0	1	0	0	0	0	5	12
22182896	4	0	0	0	0	0	0	1	5
21962952	2	0	0	0	0	0	0	0	2
22209620	1	0	0	0	0	0	0	2	3
22190104	3	0	0	0	0	0	0	0	3
22374612	12	0	0	0	0	0	0	0	12
27469255	5	0	1	0	0	0	0	0	6
21771898	14	0	0	0	0	0	0	3	17
22182942	4	0	0	0	0	0	0	1	5
21946477	7	0	0	0	0	0	0	1	8
22390081	1	0	0	0	0	0	0	0	1
22087150	6	0	0	0	0	0	0	1	7
21747954	7	0	0	0	0	0	0	0	7
21704716	57	0	20	11	0	244	91	81	504
21773386	3	0	0	0	0	0	0	1	4
21733287	0	0	0	0	0	0	0	1	1
22295747	13	0	0	0	0	1	0	0	14
21754977	6	0	1	0	0	0	0	1	8
21946451	11	0	0	0	0	0	0	0	11
22545719	5	0	1	0	0	0	0	0	6
22366865	2	0	1	0	0	0	0	0	3
22363424	1	0	1	0	0	0	0	0	2
27604063	6	0	2	0	0	0	0	0	8
22030280	0	0	1	0	0	0	0	0	1
21864403	1	0	1	0	0	0	0	0	2
21963126	0	0	0	0	0	0	0	1	1
21766185	8	0	1	0	0	0	0	0	9
22222341	5	0	0	0	0	0	0	0	5
22181555	6	0	0	0	0	0	0	2	8
21825891	3	0	0	0	0	0	0	0	3
21718393	5	0	1	0	0	0	0	1	7
21718920	0	0	1	2	0	0	0	0	3
21869545	3	0	0	0	0	0	0	1	4
21766291	9	0	0	0	0	0	0	2	11
21703299	4	0	3	0	0	2	0	1	10
21812420	4	0	0	0	0	0	0	1	5
22373411	13	0	0	0	0	0	0	9	22
21796912	6	0	0	0	0	0	0	3	9
21942986	7	0	0	0	0	0	0	0	7
73936545	1	0	0	0	0	0	0	0	1
21712999	0	0	13	1	0	0	0	1	15
21942561	0	1	7	2	0	1	0	0	11
25245686	3	0	0	0	0	0	0	1	4
21798907	6	0	2	0	0	0	0	0	8
21747431	3	0	14	0	0	2	0	0	19
22147578	8	0	0	0	0	0	0	4	12
22242503	31	0	2	0	0	2	0	11	46
21714657	5	0	0	0	0	0	0	4	9
22084223	2	0	0	0	0	0	0	1	3
22500405	5	0	0	0	0	0	0	2	7
21948071	4	0	0	0	0	0	0	3	7
22320300	2	0	0	0	0	0	0	2	4
21703388	5	0	0	1	0	1	0	1	8
22094393	1	0	0	0	0	0	0	1	2
21702454	1	0	1	0	0	1	0	0	3
22374621	7	0	0	0	0	0	0	2	9
21741328	0	1	6	6	0	1	0	0	14
22253122	1	0	0	0	0	0	0	0	1
21733708	2	0	1	0	0	0	0	0	3
22024301	2	0	0	0	0	0	0	2	4
21784680	4	0	0	0	0	0	0	2	6
22202463	8	0	1	0	0	0	0	0	9
21703663	3	0	0	0	0	0	0	1	4
22307575	4	0	0	0	0	0	0	1	5
21738947	2	0	0	0	0	1	0	1	4
22349791	11	0	0	0	0	0	0	0	11
21752176	1	0	0	0	0	0	0	0	1
22312498	7	0	0	0	0	0	0	8	15
21716421	1	0	0	0	0	0	0	0	1
21764816	14	0	2	0	0	1	0	8	25
22189998	5	0	1	0	0	0	0	5	11
22373349	21	0	1	0	0	0	0	11	33
22162208	12	0	0	0	0	0	0	2	14
26256576	1	0	0	0	0	0	0	0	1
21763551	7	0	0	0	0	0	0	1	8
21786259	5	0	0	0	0	0	0	2	7
22308296	5	0	0	0	0	0	0	1	6
22306901	11	0	1	0	0	0	0	2	14
22306811	6	0	1	0	0	0	0	2	9
21790981	9	0	0	0	0	0	0	0	9
22707506	2	0	0	0	0	0	0	0	2
21716595	0	0	4	4	0	0	0	0	8
22157841	1	0	0	0	0	2	0	0	3
21714461	0	0	0	13	0	0	0	0	13
22179321	13	0	1	0	0	0	0	6	20
22153497	7	0	0	0	0	0	0	3	10
21784507	10	0	0	0	0	1	0	1	12
21795606	6	0	0	0	0	0	0	2	8
22353259	7	1	0	0	0	0	0	1	9
22267328	4	0	0	0	0	0	0	6	10
21783314	6	0	0	0	0	0	0	3	9
21710945	6	0	0	0	0	0	0	2	8
21914087	8	0	0	0	0	0	0	5	13
27156150	1	0	0	0	0	0	0	0	1
22719016	18	1	0	0	0	0	0	4	23
21779244	5	0	0	1	0	0	0	0	6
22087095	4	0	1	0	0	0	0	0	5
21705119	0	0	5	0	0	0	0	0	5
22104771	1	0	0	0	0	0	0	1	2
22370471	8	0	0	0	0	0	0	12	20
21735263	3	0	0	0	0	0	0	0	3
27720675	3	0	0	0	0	0	0	0	3
21869774	1	0	0	0	0	0	0	1	2
22101594	2	0	0	0	0	0	0	0	2
22291717	1	0	0	0	0	0	0	0	1
22293167	6	1	1	0	0	0	0	1	9
21767963	3	0	1	0	0	0	0	0	4
21947848	0	0	16	1	0	0	0	0	17
22085769	1	0	0	0	0	0	0	1	2
22182268	1	0	0	0	0	0	0	2	3
22148523	7	0	1	0	0	0	0	3	11
22155457	4	0	0	0	0	0	0	0	4
21763569	18	0	0	0	0	0	0	2	20
21722820	1	0	2	0	0	0	0	0	3
22382640	1	0	0	0	0	0	0	2	3
21869090	2	0	0	0	0	0	0	0	2
22370510	16	0	0	0	0	0	0	5	21
21796777	5	0	0	0	0	0	0	7	12
21729018	16	0	0	0	0	0	0	4	20
22354077	9	0	1	0	0	0	0	0	10
21716331	5	0	2	1	0	0	0	1	9
21869413	12	0	1	0	0	0	0	4	17
22193588	0	0	0	0	0	1	0	0	1
22223347	6	0	0	0	0	1	0	3	10
21801932	9	2	0	0	0	0	0	0	11
21787778	5	0	0	0	0	1	0	3	9
21824533	0	0	0	0	0	0	0	1	1
21712387	2	0	1	0	0	0	0	1	4
21951497	9	0	0	0	0	0	0	1	10
22242465	30	1	0	0	0	0	0	9	40
